iter	Passed	Remaining
0	139	69748
1	141	35185
2	145	24119
3	147	18248
4	148	14744
5	151	12485
6	153	10778
7	154	9482
8	155	8502
9	157	7710
10	159	7097
11	161	6551
12	163	6107
13	164	5709
14	166	5374
15	167	5067
16	169	4823
17	171	4590
18	173	4385
19	177	4256
20	178	4071
21	180	3914
22	181	3762
23	182	3629
24	184	3498
25	185	3383
26	187	3276
27	189	3199
28	191	3112
29	193	3024
30	194	2947
31	196	2869
32	197	2796
33	198	2727
34	200	2661
35	201	2602
36	205	2575
37	208	2540
38	210	2489
39	211	2435
40	213	2384
41	214	2342
42	216	2299
43	217	2255
44	220	2231
45	222	2197
46	224	2163
47	225	2125
48	227	2095
49	229	2063
50	230	2028
51	232	1999
52	234	1976
53	236	1949
54	237	1924
55	239	1898
56	240	1870
57	242	1847
58	243	1821
59	245	1799
60	247	1778
61	248	1754
62	252	1751
63	254	1733
64	256	1713
65	257	1695
66	259	1674
67	260	1657
68	262	1639
69	263	1620
70	266	1609
71	268	1595
72	269	1578
73	271	1562
74	273	1552
75	275	1534
76	276	1519
77	278	1504
78	279	1490
79	281	1478
80	283	1464
81	284	1450
82	286	1439
83	288	1427
84	289	1413
85	290	1399
86	292	1387
87	293	1374
88	294	1361
89	296	1350
90	297	1338
91	299	1326
92	300	1316
93	302	1304
94	303	1295
95	305	1284
96	306	1272
97	307	1261
98	308	1250
99	310	1241
100	312	1233
101	313	1222
102	314	1212
103	315	1201
104	317	1193
105	318	1183
106	319	1175
107	321	1166
108	323	1159
109	324	1151
110	326	1142
111	327	1133
112	328	1124
113	329	1115
114	330	1106
115	331	1098
116	333	1090
117	334	1082
118	335	1075
119	337	1068
120	339	1062
121	342	1062
122	345	1059
123	347	1055
124	349	1049
125	350	1041
126	352	1035
127	354	1029
128	356	1024
129	359	1022
130	360	1015
131	362	1010
132	364	1004
133	365	999
134	367	992
135	368	987
136	370	981
137	371	974
138	373	968
139	374	963
140	376	957
141	377	952
142	379	947
143	380	941
144	382	936
145	384	931
146	385	925
147	387	921
148	389	916
149	391	912
150	393	909
151	395	905
152	397	901
153	399	897
154	401	893
155	402	887
156	403	882
157	405	877
158	406	871
159	407	866
160	408	860
161	410	855
162	413	855
163	415	850
164	416	846
165	418	841
166	420	837
167	421	833
168	423	828
169	424	823
170	425	819
171	426	814
172	428	809
173	429	805
174	431	801
175	432	796
176	433	791
177	435	787
178	436	782
179	437	778
180	439	774
181	441	771
182	442	766
183	443	761
184	445	758
185	446	753
186	447	748
187	448	745
188	450	741
189	452	738
190	453	734
191	455	730
192	457	727
193	458	723
194	460	719
195	461	716
196	462	711
197	463	707
198	465	703
199	466	699
200	468	696
201	470	693
202	471	689
203	472	686
204	474	682
205	475	679
206	477	675
207	478	671
208	480	668
209	481	665
210	483	662
211	485	659
212	487	656
213	488	653
214	489	649
215	491	646
216	492	642
217	493	638
218	494	634
219	496	631
220	498	629
221	499	625
222	500	622
223	501	618
224	503	615
225	504	611
226	505	608
227	507	605
228	508	601
229	509	598
230	511	595
231	513	592
232	514	589
233	515	586
234	516	582
235	517	579
236	519	576
237	520	572
238	521	569
239	523	566
240	524	563
241	525	560
242	528	558
243	530	556
244	531	553
245	533	550
246	534	547
247	536	545
248	537	542
249	539	539
250	540	536
251	542	533
252	543	530
253	545	528
254	546	525
255	548	522
256	549	519
257	550	516
258	551	513
259	553	510
260	554	508
261	556	505
262	558	502
263	560	500
264	561	497
265	563	495
266	564	492
267	566	490
268	567	487
269	568	484
270	570	482
271	572	479
272	573	477
273	575	474
274	576	472
275	578	469
276	580	467
277	581	464
278	583	461
279	584	459
280	586	456
281	587	454
282	589	451
283	590	449
284	592	446
285	593	444
286	595	441
287	596	439
288	598	436
289	599	434
290	600	431
291	602	429
292	603	426
293	604	423
294	607	421
295	608	419
296	609	416
297	611	414
298	613	412
299	614	409
300	615	407
301	617	404
302	618	402
303	620	400
304	622	397
305	624	395
306	625	393
307	627	391
308	629	388
309	630	386
310	632	384
311	633	381
312	635	379
313	637	377
314	638	375
315	640	372
316	642	370
317	643	368
318	644	365
319	646	363
320	647	361
321	649	359
322	651	356
323	652	354
324	654	352
325	656	350
326	657	347
327	659	345
328	660	343
329	662	341
330	663	338
331	665	336
332	666	334
333	668	332
334	670	330
335	671	327
336	673	325
337	674	323
338	676	321
339	677	318
340	679	316
341	680	314
342	682	312
343	684	310
344	685	308
345	687	306
346	689	303
347	690	301
348	692	299
349	693	297
350	695	295
351	697	293
352	699	291
353	701	289
354	702	287
355	704	284
356	705	282
357	707	280
358	708	278
359	710	276
360	711	274
361	713	272
362	715	270
363	717	268
364	718	265
365	720	263
366	722	261
367	723	259
368	725	257
369	726	255
370	728	253
371	730	251
372	731	249
373	733	247
374	735	245
375	736	242
376	738	240
377	739	238
378	741	236
379	742	234
380	744	232
381	746	230
382	747	228
383	749	226
384	750	224
385	752	222
386	754	220
387	755	218
388	757	216
389	759	214
390	760	212
391	762	210
392	763	207
393	765	205
394	766	203
395	768	201
396	769	199
397	771	197
398	773	195
399	775	193
400	776	191
401	778	189
402	780	187
403	781	185
404	783	183
405	784	181
406	786	179
407	787	177
408	789	175
409	791	173
410	793	171
411	795	169
412	796	167
413	798	165
414	800	163
415	801	161
416	803	159
417	807	158
418	809	156
419	811	154
420	812	152
421	814	150
422	815	148
423	817	146
424	819	144
425	821	142
426	822	140
427	824	138
428	825	136
429	827	134
430	828	132
431	830	130
432	832	128
433	833	126
434	835	124
435	837	122
436	838	120
437	840	118
438	841	116
439	843	115
440	845	113
441	846	111
442	847	109
443	849	107
444	851	105
445	852	103
446	854	101
447	856	99
448	857	97
449	859	95
450	860	93
451	862	91
452	863	89
453	865	87
454	866	85
455	868	83
456	870	81
457	871	79
458	873	77
459	874	76
460	876	74
461	877	72
462	879	70
463	880	68
464	882	66
465	884	64
466	885	62
467	887	60
468	889	58
469	890	56
470	892	54
471	893	53
472	895	51
473	896	49
474	898	47
475	900	45
476	902	43
477	903	41
478	905	39
479	906	37
480	908	35
481	909	33
482	911	32
483	912	30
484	914	28
485	916	26
486	917	24
487	919	22
488	920	20
489	922	18
490	923	16
491	925	15
492	926	13
493	928	11
494	930	9
495	931	7
496	933	5
497	935	3
498	936	1
499	938	0
