iter	Passed	Remaining
0	157	47223
1	165	24610
2	178	17656
3	187	13901
4	196	11577
5	203	9954
6	211	8855
7	220	8046
8	229	7406
9	237	6881
10	246	6472
11	255	6142
12	263	5809
13	272	5560
14	280	5334
15	287	5106
16	297	4946
17	306	4803
18	312	4628
19	322	4512
20	329	4379
21	338	4282
22	346	4173
23	355	4089
24	362	3988
25	370	3909
26	380	3851
27	391	3805
28	398	3724
29	411	3700
30	420	3645
31	428	3588
32	438	3549
33	446	3494
34	455	3451
35	462	3391
36	474	3375
37	484	3338
38	493	3300
39	503	3271
40	511	3232
41	525	3227
42	535	3202
43	549	3194
44	563	3194
45	574	3171
46	589	3175
47	607	3191
48	626	3209
49	643	3216
50	652	3186
51	664	3170
52	677	3157
53	688	3138
54	707	3150
55	722	3147
56	738	3147
57	754	3148
58	767	3136
59	782	3131
60	793	3108
61	802	3081
62	819	3082
63	830	3063
64	844	3053
65	864	3064
66	875	3043
67	885	3020
68	898	3006
69	909	2986
70	918	2961
71	928	2940
72	938	2918
73	949	2900
74	960	2882
75	970	2860
76	981	2841
77	990	2820
78	1000	2798
79	1010	2777
80	1017	2750
81	1026	2727
82	1033	2701
83	1042	2680
84	1050	2656
85	1062	2642
86	1069	2619
87	1078	2598
88	1090	2585
89	1100	2567
90	1115	2561
91	1127	2550
92	1143	2546
93	1153	2528
94	1165	2513
95	1177	2502
96	1189	2489
97	1200	2473
98	1212	2461
99	1225	2451
100	1237	2437
101	1256	2439
102	1274	2437
103	1290	2432
104	1309	2432
105	1320	2417
106	1329	2398
107	1340	2382
108	1347	2361
109	1355	2341
110	1365	2324
111	1374	2306
112	1383	2289
113	1391	2270
114	1401	2255
115	1408	2234
116	1416	2216
117	1425	2198
118	1432	2179
119	1439	2159
120	1449	2143
121	1455	2124
122	1466	2110
123	1474	2092
124	1484	2078
125	1491	2060
126	1500	2044
127	1509	2028
128	1517	2011
129	1523	1992
130	1535	1981
131	1545	1967
132	1552	1949
133	1560	1932
134	1568	1916
135	1577	1902
136	1586	1887
137	1594	1872
138	1601	1854
139	1609	1838
140	1616	1823
141	1626	1809
142	1634	1794
143	1644	1781
144	1650	1764
145	1660	1751
146	1668	1736
147	1678	1723
148	1685	1708
149	1695	1695
150	1703	1680
151	1714	1668
152	1724	1656
153	1733	1643
154	1742	1629
155	1750	1615
156	1760	1603
157	1768	1589
158	1777	1576
159	1784	1561
160	1793	1548
161	1800	1533
162	1810	1522
163	1821	1510
164	1829	1497
165	1837	1483
166	1845	1469
167	1855	1457
168	1864	1445
169	1874	1433
170	1882	1420
171	1892	1408
172	1900	1395
173	1907	1381
174	1915	1368
175	1925	1356
176	1933	1343
177	1942	1331
178	1950	1318
179	1962	1308
180	1985	1305
181	1997	1295
182	2011	1286
183	2025	1277
184	2041	1269
185	2059	1262
186	2072	1252
187	2079	1239
188	2092	1228
189	2101	1216
190	2109	1203
191	2118	1191
192	2125	1178
193	2134	1166
194	2146	1155
195	2154	1143
196	2164	1131
197	2174	1120
198	2183	1108
199	2191	1095
200	2201	1084
201	2209	1072
202	2219	1060
203	2229	1049
204	2239	1037
205	2247	1025
206	2254	1012
207	2263	1001
208	2270	988
209	2280	977
210	2287	964
211	2293	952
212	2303	940
213	2310	928
214	2320	917
215	2327	905
216	2336	893
217	2350	884
218	2359	872
219	2367	861
220	2375	849
221	2385	838
222	2399	828
223	2416	819
224	2432	810
225	2444	800
226	2461	791
227	2478	782
228	2494	773
229	2515	765
230	2531	756
231	2546	746
232	2558	735
233	2573	725
234	2583	714
235	2595	703
236	2606	692
237	2615	681
238	2623	669
239	2632	658
240	2640	646
241	2649	635
242	2657	623
243	2666	612
244	2677	600
245	2685	589
246	2695	578
247	2704	566
248	2710	555
249	2716	543
250	2725	532
251	2732	520
252	2739	508
253	2746	497
254	2752	485
255	2760	474
256	2766	462
257	2773	451
258	2780	440
259	2788	429
260	2795	417
261	2803	406
262	2810	395
263	2817	384
264	2828	373
265	2840	363
266	2848	352
267	2860	341
268	2868	330
269	2875	319
270	2883	308
271	2889	297
272	2898	286
273	2906	275
274	2918	265
275	2926	254
276	2935	243
277	2942	232
278	2953	222
279	2971	212
280	2977	201
281	2985	190
282	2992	179
283	3000	169
284	3008	158
285	3017	147
286	3027	137
287	3035	126
288	3045	115
289	3051	105
290	3056	94
291	3063	83
292	3069	73
293	3074	62
294	3080	52
295	3085	41
296	3090	31
297	3097	20
298	3102	10
299	3109	0
